plant,hz,nominal_ratio,one_way_delay_ms,schedule,max_motor_error_rad,max_load_error_rad,motor_rms_rad,load_rms_rad,tail_load_rms_rad,tail_load_velocity_rms_rad_s,peak_current_a,peak_twist_rad,amplitude_limited_pct,slew_limited_pct,compensation_limited_pct,result
varying_inertia,200,4.00,5,0,57.071564,57.071564,19.164241,19.164241,47.513240,56.824287,6.348005,0.000000,45.792,53.250,53.167,poor
varying_inertia,200,4.00,10,0,133.869812,133.869812,32.065068,32.065068,75.905530,136.992835,6.392119,0.000000,52.542,59.958,60.583,poor
varying_inertia,200,4.00,20,0,363.784424,363.784424,163.420298,163.420298,107.995536,368.447928,10.000000,0.000000,82.833,90.708,94.250,poor
varying_inertia,100,1.00,0,1,0.024710,0.024710,0.012479,0.012479,0.001467,0.001929,0.257937,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,1.00,5,1,0.027802,0.027802,0.012355,0.012355,0.001436,0.001839,0.261489,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,1.00,10,1,0.036491,0.036491,0.013109,0.013109,0.001393,0.001771,0.272907,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,100,1.00,20,1,0.054027,0.054027,0.016715,0.016715,0.001319,0.001755,0.299751,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,0,1,0.024992,0.024992,0.012680,0.012680,0.001525,0.001880,0.258616,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,5,1,0.027925,0.027925,0.012549,0.012549,0.001478,0.001887,0.262731,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,10,1,0.036723,0.036723,0.013265,0.013265,0.001448,0.001837,0.271636,0.000000,0.000,0.000,0.000,within_report_threshold
varying_inertia,200,1.00,20,1,0.054272,0.054272,0.016825,0.016825,0.001360,0.001628,0.299131,0.000000,0.000,0.000,0.000,within_report_threshold
